"Deal","Product name","Current prices","old prices","Discount 3","Rating","ic href 2","add","_ni src"
"","Volkano Optical Cable : VK-20148-BK - Black   (1YR WRTY)","KSh 450","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Micropack Fast Charger 20W Dual Ports Plug + Free Oraimo Type-C Fast Charging Cable","KSh 1,649","","","","","Add to cart",""
"","TAAR MOMENTO IOS To TYPE C DATA CABLE (6 M WRTY)","KSh 349","KSh 499","30%","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Baseus  1M 240W Tungsten Type-C to Type-C Gold","KSh 1,400","","","","","Add to cart",""
"","Infinix GT 20 Pro, 6.78"", 256GB + 12GB RAM (Dual SIM), 108MP, 5000mAh, Mecha Orange (1YR  WRTY)","KSh 38,200","KSh 40,000","5%","","[object Object]","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Tech week deal","C Idea 8-Inch, Android 12, Dual Camera, SIM, 256GB, 6GB RAM Tablet With Case - Purple","KSh 5,869","KSh 11,508","49%","2.9 out of 5","[object Object]","Add to cart",""
"","SIMI B201 2.4inch Feature Phone Solar Charging 4000mAh","KSh 3,500 - KSh 4,300","","","3 out of 5","","Add to cart",""
"Tech week deal","C Idea 10.1 Inch Android Tablet PC 12 Dual Camera Sim 8GB RAM 512GB Bluetooth Green","KSh 10,699","KSh 21,000","49%","2.8 out of 5","[object Object]","Add to cart",""
"","Blackview A70Pro Smartphone 32+4GB 13MP+5MP Camera  6.517' Inch -Blue","KSh 15,410","KSh 26,934","43%","2.7 out of 5","[object Object]","Add to cart",""
"","Jbl Tune 110 In-Ear Headphones - Black(1 YR WRTY)","KSh 1,600","KSh 3,200","50%","3 out of 5","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","SIMI S502SMARTPHONE - 5.""  HD + 1GB And 16GB golden- black","KSh 7,999","","","3 out of 5","","Add to cart",""
"Out of Stock","Realme C11, 6.5'', 2GB + 32GB (Dual SIM) - 5000mah - Pepper Grey + Free Gift Bag","KSh 7,999","KSh 9,999","20%","","[object Object]","Sold out",""
"Out of Stock","Realme C11 2021, 6.5"", 32GB + 2GB, (Dual SIM), 5000mAh - Grey","KSh 13,000","","","3.8 out of 5","[object Object]","Sold out",""
"Out of Stock","Realme C15, 6.5"", 4 GB + 128 GB (Dual SIM) - Blue","KSh 11,999","KSh 14,999","20%","","[object Object]","Sold out",""
"Out of Stock","Realme C21Y, 6.5"", 3 GB RAM+ 32 GB (Dual SIM), 5000mAh, Blue","KSh 15,998","","","","[object Object]","Sold out",""
"Out of Stock","Realme Buds Q - Black","KSh 31,000","","","","[object Object]","Sold out",""
"Out of Stock","Realme Smart Waterproof Band - Green","KSh 2,299","","","","[object Object]","Sold out",""
